Sr.,Year,Institute,Program,Duration,Degree,Category,Pool,Opening,Closing
751,2022,IIT-Kharagpur,Biotechnology and Biochemical Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,3052,3052
752,2022,IIT-Kharagpur,Biotechnology and Biochemical Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,1009,1241
753,2022,IIT-Kharagpur,Biotechnology and Biochemical Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Female-Only,846,846
754,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,GEN-PWD,Female-Only,45,45
755,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,35,52
756,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS-PWD,Gender-Neutral,7,7
757,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,89,138
758,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,250,353
759,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL-PWD,Gender-Neutral,10,10
760,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL-PWD,Female-Only,49,49
761,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,SC,Gender-Neutral,47,85
762,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,SC,Female-Only,131,147
763,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,SC-PWD,Gender-Neutral,5 - P,5 - P
764,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,ST,Gender-Neutral,29,39
765,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,ST,Female-Only,140,140
766,2022,IIT-Kharagpur,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,319,526
767,2022,IIT-Kharagpur,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,982,1256
768,2022,IIT-Kharagpur,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-PWD,Gender-Neutral,36,36
769,2022,IIT-Kharagpur,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,83,102
770,2022,IIT-Kharagpur,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Female-Only,360,360
771,2022,IIT-Kharagpur,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,153,326
772,2022,IIT-Kharagpur,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,752,914
773,2022,IIT-Kharagpur,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL-PWD,Gender-Neutral,16,16
774,2022,IIT-Kharagpur,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,59,143
775,2022,IIT-Kharagpur,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,338,510
776,2022,IIT-Kharagpur,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,50,79
777,2022,IIT-Kharagpur,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Female-Only,280,280
778,2022,IIT-Kharagpur,Economics,4 Years,BSc,GEN,Gender-Neutral,4262,6173
779,2022,IIT-Kharagpur,Economics,4 Years,BSc,GEN,Female-Only,7712,9527
780,2022,IIT-Kharagpur,Economics,4 Years,BSc,GEN-EWS,Gender-Neutral,818,1165
781,2022,IIT-Kharagpur,Economics,4 Years,BSc,GEN-EWS,Female-Only,1699,1699
782,2022,IIT-Kharagpur,Economics,4 Years,BSc,OBC-NCL,Gender-Neutral,2086,2850
783,2022,IIT-Kharagpur,Economics,4 Years,BSc,OBC-NCL,Female-Only,3615,6465
784,2022,IIT-Kharagpur,Economics,4 Years,BSc,SC,Gender-Neutral,1118,1848
785,2022,IIT-Kharagpur,Economics,4 Years,BSc,SC,Female-Only,2205,2205
786,2022,IIT-Kharagpur,Economics,4 Years,BSc,ST,Gender-Neutral,819,1132
787,2022,IIT-Kharagpur,Economics,4 Years,BSc,ST,Female-Only,835,835
788,2022,IIT-Kharagpur,Electrical Engineering,4 Years,B.Tech,GEN,Gender-Neutral,1288,1805
789,2022,IIT-Kharagpur,Electrical Engineering,4 Years,B.Tech,GEN,Female-Only,3052,3785
790,2022,IIT-Kharagpur,Electrical Engineering,4 Years,B.Tech,GEN-PWD,Gender-Neutral,77,77
791,2022,IIT-Kharagpur,Electrical Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,288,326
792,2022,IIT-Kharagpur,Electrical Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,502,502
793,2022,IIT-Kharagpur,Electrical Engineering,4 Years,B.Tech,GEN-EWS-PWD,Gender-Neutral,19,19
794,2022,IIT-Kharagpur,Electrical Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,594,851
795,2022,IIT-Kharagpur,Electrical Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,1761,2296
796,2022,IIT-Kharagpur,Electrical Engineering,4 Years,B.Tech,OBC-NCL-PWD,Gender-Neutral,54,54
797,2022,IIT-Kharagpur,Electrical Engineering,4 Years,B.Tech,SC,Gender-Neutral,311,450
798,2022,IIT-Kharagpur,Electrical Engineering,4 Years,B.Tech,SC,Female-Only,803,934
799,2022,IIT-Kharagpur,Electrical Engineering,4 Years,B.Tech,ST,Gender-Neutral,212,288
800,2022,IIT-Kharagpur,Electrical Engineering,4 Years,B.Tech,ST,Female-Only,382,382
801,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,GEN,Gender-Neutral,112,303
802,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,GEN,Female-Only,778,905
803,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,GEN-PWD,Gender-Neutral,14,17
804,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,GEN-PWD,Female-Only,45,45
805,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,35,52
806,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS-PWD,Gender-Neutral,7,7
807,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,89,138
808,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,250,353
809,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL-PWD,Gender-Neutral,10,10
810,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL-PWD,Female-Only,49,49
811,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,SC,Gender-Neutral,47,85
812,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,SC,Female-Only,131,147
813,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,SC-PWD,Gender-Neutral,5 - P,5 - P
814,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,ST,Gender-Neutral,29,39
815,2022,IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,ST,Female-Only,140,140
816,2022,IIT-Kharagpur,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,319,526
817,2022,IIT-Kharagpur,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS-PWD,Gender-Neutral,14,14
818,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,235,510
819,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,484,1252
820,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering,4 Years,B.Tech,OBC-NCL-PWD,Gender-Neutral,40,40
821,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering,4 Years,B.Tech,SC,Gender-Neutral,144,251
822,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering,4 Years,B.Tech,SC,Female-Only,537,537
823,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering,4 Years,B.Tech,ST,Gender-Neutral,67,173
824,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering,4 Years,B.Tech,ST,Female-Only,238,238
825,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,1222,1637
826,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,2632,3432
827,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),GEN-PWD,Gender-Neutral,68,68
828,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,260,320
829,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Female-Only,688,688
830,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,543,889
831,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,1641,1654
832,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),OBC-NCL-PWD,Gender-Neutral,45 - P,45 - P
833,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,289,523
834,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,797,855
835,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,248,357
836,2022,IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),ST,Female-Only,394,394
837,2022,IIT-Kharagpur,Exploration Geophysics,4 Years,BSc,GEN,Gender-Neutral,8524,11592
838,2022,IIT-Kharagpur,Exploration Geophysics,4 Years,BSc,GEN,Female-Only,18575,20790
839,2022,IIT-Kharagpur,Exploration Geophysics,4 Years,BSc,GEN-EWS,Gender-Neutral,1642,1918
840,2022,IIT-Kharagpur,Exploration Geophysics,4 Years,BSc,GEN-EWS,Female-Only,3627,3627
841,2022,IIT-Kharagpur,Exploration Geophysics,4 Years,BSc,OBC-NCL,Gender-Neutral,4180,4907
842,2022,IIT-Kharagpur,Exploration Geophysics,4 Years,BSc,OBC-NCL,Female-Only,8735,8851
843,2022,IIT-Kharagpur,Exploration Geophysics,4 Years,BSc,SC,Gender-Neutral,2369,2664
844,2022,IIT-Kharagpur,Exploration Geophysics,4 Years,BSc,SC,Female-Only,3867,3867
845,2022,IIT-Kharagpur,Exploration Geophysics,4 Years,BSc,ST,Gender-Neutral,1174,1465
846,2022,IIT-Kharagpur,Exploration Geophysics,4 Years,BSc,ST,Female-Only,1550,1550
847,2022,IIT-Kharagpur,Industrial and Systems Engineering,4 Years,B.Tech,GEN,Gender-Neutral,3256,4307
848,2022,IIT-Kharagpur,Industrial and Systems Engineering,4 Years,B.Tech,GEN,Female-Only,8027,9190
849,2022,IIT-Kharagpur,Industrial and Systems Engineering,4 Years,B.Tech,GEN-PWD,Gender-Neutral,159,159
850,2022,IIT-Kharagpur,Industrial and Systems Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,813,885
851,2022,IIT-Kharagpur,Mathematics and Computing,4 Years,BSc,GEN,Gender-Neutral,711,1335
852,2022,IIT-Kharagpur,Electrical Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,1835,2314
853,2022,IIT-Kharagpur,Electrical Engineering with M.Tech. in any of the listed specializations,4 Years,B.Tech,OBC-NCL,Female-Only,4418,4685
854,2022,IIT-Kharagpur,Industrial and Systems Engineering,4 Years,B.Tech,SC,Gender-Neutral,767,1189
855,2022,IIT-Kharagpur,Industrial and Systems Engineering,4 Years,B.Tech,SC,Female-Only,1610,1610
856,2022,IIT-Kharagpur,Industrial and Systems Engineering,4 Years,B.Tech,ST,Gender-Neutral,510,698
857,2022,IIT-Kharagpur,Industrial and Systems Engineering,4 Years,B.Tech,ST,Female-Only,605,605
858,2022,IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,4349,4991
,,,,,,,,,
860,2022,IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,1014,1157
861,2022,IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,2124,2351
862,2022,IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,5740,5740
863,2022,IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,1283,1455
864,2022,IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,2414,2414
865,2022,IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,900,965
866,2022,IIT-Kharagpur,Instrumentation Engineering,4 Years,B.Tech,GEN,Gender-Neutral,1993,2533
867,2022,IIT-Kharagpur,Instrumentation Engineering,4 Years,B.Tech,GEN,Female-Only,5373,5533
868,2022,IIT-Kharagpur,Instrumentation Engineering,4 Years,B.Tech,GEN-PWD,Gender-Neutral,90,90
869,2022,IIT-Kharagpur,Instrumentation Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,363,513
870,2022,IIT-Kharagpur,Instrumentation Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,1242,1242
871,2022,IIT-Kharagpur,Instrumentation Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,1126,1360
872,2022,IIT-Kharagpur,Instrumentation Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,3965,4093
873,2022,IIT-Kharagpur,Instrumentation Engineering,4 Years,B.Tech,SC,Gender-Neutral,379,733
874,2022,IIT-Kharagpur,Instrumentation Engineering,4 Years,B.Tech,SC,Female-Only,1836,1836
875,2022,IIT-Kharagpur,Instrumentation Engineering,4 Years,B.Tech,ST,Gender-Neutral,428,469
876,2022,IIT-Kharagpur,Instrumentation Engineering,4 Years,B.Tech,ST,Female-Only,751,751
877,2022,IIT-Kharagpur,Manufacturing Science and Engineering,4 Years,B.Tech,GEN,Gender-Neutral,4822,5858
878,2022,IIT-Kharagpur,Manufacturing Science and Engineering,4 Years,B.Tech,GEN,Female-Only,12302,12657
879,2022,IIT-Kharagpur,Manufacturing Science and Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,1071,1249
880,2022,IIT-Kharagpur,Manufacturing Science and Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,2648,2648
881,2022,IIT-Kharagpur,Manufacturing Science and Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,2667,3022
882,2022,IIT-Kharagpur,Manufacturing Science and Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,6133,6490
883,2022,IIT-Kharagpur,Manufacturing Science and Engineering,4 Years,B.Tech,SC,Gender-Neutral,1463,1802
884,2022,IIT-Kharagpur,Manufacturing Science and Engineering,4 Years,B.Tech,SC,Female-Only,3068,3068
885,2022,IIT-Kharagpur,Manufacturing Science and Engineering,4 Years,B.Tech,ST,Gender-Neutral,592,870
886,2022,IIT-Kharagpur,Manufacturing Science and Engineering,4 Years,B.Tech,ST,Female-Only,1326,1326
887,2022,IIT-Kharagpur,Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,6063,6924
888,2022,IIT-Kharagpur,Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,13902,15722
889,2022,IIT-Kharagpur,Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,1399,1427
890,2022,IIT-Kharagpur,Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,3025,3234
891,2022,IIT-Kharagpur,Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,5914,5914
892,2022,IIT-Kharagpur,Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,1483,1858
893,2022,IIT-Kharagpur,Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,3002,3002
894,2022,IIT-Kharagpur,Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,986,986
895,2022,IIT-Kharagpur,Mathematics and Computing,4 Years,BSc,GEN,Female-Only,3161,3665
896,2022,IIT-Kharagpur,Mathematics and Computing,4 Years,BSc,GEN-PWD,Gender-Neutral,79,79
897,2022,IIT-Kharagpur,Mathematics and Computing,4 Years,BSc,GEN-PWD,Female-Only,182,182
898,2022,IIT-Kharagpur,Mathematics and Computing,4 Years,BSc,GEN-EWS,Gender-Neutral,200,253
899,2022,IIT-Kharagpur,Mathematics and Computing,4 Years,BSc,GEN-EWS-PWD,Gender-Neutral,13 - P,13 - P
900,2022,IIT-Kharagpur,Mathematics and Computing,4 Years,BSc,OBC-NCL,Gender-Neutral,323,761
901,2022,IIT-Kharagpur,Industrial and Systems Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,1889,1889
902,2022,IIT-Kharagpur,Industrial and Systems Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,1407,2049
903,2022,IIT-Kharagpur,Industrial and Systems Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,4418,4685
904,2022,IIT-Kharagpur,Industrial and Systems Engineering,4 Years,B.Tech,SC,Gender-Neutral,767,1189
905,2022,IIT-Kharagpur,Industrial and Systems Engineering,4 Years,B.Tech,SC,Female-Only,1610,1610
906,2022,IIT-Kharagpur,Industrial and Systems Engineering,4 Years,B.Tech,ST,Gender-Neutral,510,698
907,2022,IIT-Kharagpur,Industrial and Systems Engineering,4 Years,B.Tech,ST,Female-Only,605,605
908,2022,IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,4349,4991
,,,,,,,,,
910,2022,IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,1014,1157
911,2022,IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,2124,2351
912,2022,IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,5740,5740
913,2022,IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,1283,1455
914,2022,IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,2414,2414
915,2022,IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,900,965
916,2022,IIT-Kharagpur,Instrumentation Engineering,4 Years,B.Tech,GEN,Gender-Neutral,1993,2533
917,2022,IIT-Kharagpur,Instrumentation Engineering,4 Years,B.Tech,GEN,Female-Only,5373,5533
918,2022,IIT-Kharagpur,Instrumentation Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,3539,5197
919,2022,IIT-Kharagpur,Mechanical Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,10270,11336
920,2022,IIT-Kharagpur,Mechanical Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,731,953
921,2022,IIT-Kharagpur,Mechanical Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,1354,2218
922,2022,IIT-Kharagpur,Mechanical Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,4732,5472
923,2022,IIT-Kharagpur,Mechanical Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,942,1165
924,2022,IIT-Kharagpur,Mechanical Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,2075,2287
925,2022,IIT-Kharagpur,Mechanical Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,501,789
926,2022,IIT-Kharagpur,Mechanical Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),ST,Female-Only,1275,1275
927,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,4 Years,B.Tech,GEN,Gender-Neutral,5448,6920
928,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,4 Years,B.Tech,GEN,Female-Only,11706,12375
929,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,1163,1322
930,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,2317,2317
931,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,2301,3033
932,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,5856,6116
933,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,4 Years,B.Tech,SC,Gender-Neutral,1211,1622
934,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,4 Years,B.Tech,SC,Female-Only,2490,2795
935,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,4 Years,B.Tech,ST,Gender-Neutral,48,714
936,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,4 Years,B.Tech,ST,Female-Only,987,987
937,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,7198,8364
938,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,15600,16871
939,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,1423,1486
940,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,3118,3438
941,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,6667,6820
942,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,1634,2032
943,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,3151,3151
944,2022,IIT-Kharagpur,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,856,999
945,2022,IIT-Kharagpur,Mining Engineering,4 Years,B.Tech,GEN,Gender-Neutral,7169,8739
946,2022,IIT-Kharagpur,Mining Engineering,4 Years,B.Tech,GEN,Female-Only,16220,16942
947,2022,IIT-Kharagpur,Mining Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,1149,1432
948,2022,IIT-Kharagpur,Mining Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,3018,3018
949,2022,IIT-Kharagpur,Mining Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,2862,3579
950,2022,IIT-Kharagpur,Mining Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,7416,7746
951,2022,IIT-Kharagpur,Mathematics and Computing,4 Years,BSc,OBC-NCL,Female-Only,811,2331
952,2022,IIT-Kharagpur,Mathematics and Computing,4 Years,BSc,OBC-NCL-PWD,Gender-Neutral,8 - P,8 - P
953,2022,IIT-Kharagpur,Mathematics and Computing,4 Years,BSc,SC,Gender-Neutral,250,478
954,2022,IIT-Kharagpur,Mathematics and Computing,4 Years,BSc,SC,Female-Only,1142,1410
955,2022,IIT-Kharagpur,Mathematics and Computing,4 Years,BSc,ST,Gender-Neutral,98,243
956,2022,IIT-Kharagpur,Mathematics and Computing,4 Years,BSc,ST,Female-Only,450,450
957,2022,IIT-Kharagpur,Mechanical Engineering,4 Years,B.Tech,GEN,Gender-Neutral,2042,1534
958,2022,IIT-Kharagpur,Mining Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,3599,3983
959,2022,IIT-Kharagpur,Mining Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,8422,8422
960,2022,IIT-Kharagpur,Mining Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,2079,2244
961,2022,IIT-Kharagpur,Mining Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,3516,3516
962,2022,IIT-Kharagpur,Mining Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,1065,1166
963,2022,IIT-Kharagpur,Mining Safety Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,10090,11583
964,2022,IIT-Kharagpur,Mining Safety Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,18055,20265
965,2022,IIT-Kharagpur,Mining Safety Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,1688,1711
966,2022,IIT-Kharagpur,Mining Safety Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,3598,4143
967,2022,IIT-Kharagpur,Mining Safety Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,8617,8617
