Sr.,Year,Institute,Program,Duration,Degree,Category,Pool,Opening,Closing
1518,2022,IIT-Madras,Naval Architecture and Ocean Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,1159,1373
1519,2022,IIT-Madras,Naval Architecture and Ocean Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,3047,3047
1520,2022,IIT-Madras,Naval Architecture and Ocean Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,2618,3287
1521,2022,IIT-Madras,Naval Architecture and Ocean Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,5882,6382
1522,2022,IIT-Madras,Naval Architecture and Ocean Engineering,4 Years,B.Tech,SC,Gender-Neutral,1521,1796
1523,2022,IIT-Madras,Naval Architecture and Ocean Engineering,4 Years,B.Tech,SC,Female-Only,2910,3146
1524,2022,IIT-Madras,Naval Architecture and Ocean Engineering,4 Years,B.Tech,ST,Gender-Neutral,745,901
1525,2022,IIT-Madras,Naval Architecture and Ocean Engineering,4 Years,B.Tech,ST,Female-Only,1003,1003
1526,2022,IIT-Madras,Physics,5 Years,BS + MS (IDD),GEN,Gender-Neutral,106,4318
1527,2022,IIT-Madras,Physics,5 Years,BS + MS (IDD),GEN,Female-Only,10266,10266
1528,2022,IIT-Madras,Physics,5 Years,BS + MS (IDD),GEN-EWS,Gender-Neutral,1048,1048
1529,2022,IIT-Madras,Physics,5 Years,BS + MS (IDD),GEN-EWS,Female-Only,3668,3668
1530,2022,IIT-Madras,Physics,5 Years,BS + MS (IDD),OBC-NCL,Gender-Neutral,3007,3053
1531,2022,IIT-Madras,Physics,5 Years,BS + MS (IDD),OBC-NCL,Female-Only,6524,6524
1532,2022,IIT-Madras,Physics,5 Years,BS + MS (IDD),SC,Gender-Neutral,1324,1624
1533,2022,IIT-Madras,Physics,5 Years,BS + MS (IDD),ST,Gender-Neutral,1060,1060
1534,2022,IIT-Gandhinagar,Chemical Engineering,4 Years,B.Tech,GEN,Gender-Neutral,5991,9270
1535,2022,IIT-Gandhinagar,Chemical Engineering,4 Years,B.Tech,GEN,Female-Only,14421,14914
1536,2022,IIT-Gandhinagar,Chemical Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,1429,1679
1537,2022,IIT-Gandhinagar,Chemical Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,2748,2748
1538,2022,IIT-Gandhinagar,Chemical Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,3391,4031
1539,2022,IIT-Gandhinagar,Chemical Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,5743,7184
1540,2022,IIT-Gandhinagar,Chemical Engineering,4 Years,B.Tech,SC,Gender-Neutral,1844,2158
1541,2022,IIT-Gandhinagar,Chemical Engineering,4 Years,B.Tech,SC,Female-Only,2784,3005
1542,2022,IIT-Gandhinagar,Chemical Engineering,4 Years,B.Tech,ST,Gender-Neutral,1143,1154
1543,2022,IIT-Gandhinagar,Civil Engineering,4 Years,B.Tech,GEN,Gender-Neutral,9672,11217
1544,2022,IIT-Gandhinagar,Civil Engineering,4 Years,B.Tech,GEN,Female-Only,15577,17470
1545,2022,IIT-Gandhinagar,Civil Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,1590,1741
1546,2022,IIT-Gandhinagar,Civil Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,3823,4170
1547,2022,IIT-Gandhinagar,Civil Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,7248,7656
1548,2022,IIT-Gandhinagar,Civil Engineering,4 Years,B.Tech,SC,Gender-Neutral,1961,2286
1549,2022,IIT-Gandhinagar,Civil Engineering,4 Years,B.Tech,SC,Female-Only,3004,3004
1550,2022,IIT-Gandhinagar,Civil Engineering,4 Years,B.Tech,ST,Gender-Neutral,681,686
1551,2022,IIT-Madras,Mechanical Engineering,4 Years,B.Tech,OBC-NCL-PWD,Gender-Neutral,49 - P,49 - P
1552,2022,IIT-Madras,Mechanical Engineering,4 Years,B.Tech,SC,Gender-Neutral,259,788
1553,2022,IIT-Madras,Mechanical Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,191,225
1554,2022,IIT-Gandhinagar,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,475,475
1555,2022,IIT-Gandhinagar,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS-PWD,Gender-Neutral,20,20
1556,2022,IIT-Gandhinagar,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,446,623
1557,2022,IIT-Gandhinagar,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,1078,1098
1558,2022,IIT-Gandhinagar,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL-PWD,Gender-Neutral,18,18
1559,2022,IIT-Gandhinagar,Computer Science and Engineering,4 Years,B.Tech,SC,Gender-Neutral,185,332
1560,2022,IIT-Gandhinagar,Computer Science and Engineering,4 Years,B.Tech,SC,Female-Only,737,758
1561,2022,IIT-Gandhinagar,Computer Science and Engineering,4 Years,B.Tech,ST,Gender-Neutral,126,127
1562,2022,IIT-Gandhinagar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,1444,2008
1563,2022,IIT-Gandhinagar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,3809,4376
1564,2022,IIT-Gandhinagar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-PWD,Gender-Neutral,92,92
1565,2022,IIT-Gandhinagar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,367,392
1566,2022,IIT-Gandhinagar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,631,728
1567,2022,IIT-Gandhinagar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,2969,2969
1568,2022,IIT-Gandhinagar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,538,631
1569,2022,IIT-Gandhinagar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,1167,1167
1570,2022,IIT-Gandhinagar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,244,244
1571,2022,IIT-Gandhinagar,Electrical Engineering,4 Years,B.Tech,GEN,Gender-Neutral,2858,4127
1572,2022,IIT-Gandhinagar,Electrical Engineering,4 Years,B.Tech,GEN,Female-Only,5902,7522
1573,2022,IIT-Gandhinagar,Electrical Engineering,4 Years,B.Tech,GEN-PWD,Gender-Neutral,174,174
1574,2022,IIT-Gandhinagar,Electrical Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,635,809
